I, [2019-01-03T16:25:28.520020 #8029]  INFO -- Kitchen: -----> Starting Kitchen (v1.20.0)
E, [2019-01-03T16:25:28.520307 #8029] ERROR -- Kitchen: ------Exception-------
E, [2019-01-03T16:25:28.520339 #8029] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2019-01-03T16:25:28.520356 #8029] ERROR -- Kitchen: Message: Kitchen YAML file /home/cloud_user/chef-repo/.kitchen.yml does not exist.
E, [2019-01-03T16:25:28.520371 #8029] ERROR -- Kitchen: ----------------------
E, [2019-01-03T16:25:28.520384 #8029] ERROR -- Kitchen: ------Backtrace-------
E, [2019-01-03T16:25:28.520396 #8029] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2019-01-03T16:25:28.520409 #8029] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:152:in `data'
E, [2019-01-03T16:25:28.520426 #8029] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:131:in `suites'
E, [2019-01-03T16:25:28.520440 #8029] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2019-01-03T16:25:28.520452 #8029] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2019-01-03T16:25:28.520465 #8029] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:117:in `instances'
E, [2019-01-03T16:25:28.520477 #8029] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2019-01-03T16:25:28.520501 #8029] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2019-01-03T16:25:28.520514 #8029] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command/test.rb:40:in `block in call'
E, [2019-01-03T16:25:28.520527 #8029] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2019-01-03T16:25:28.520540 #8029] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command/test.rb:38:in `call'
E, [2019-01-03T16:25:28.520552 #8029] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/cli.rb:52:in `perform'
E, [2019-01-03T16:25:28.520564 #8029] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/cli.rb:245:in `test'
E, [2019-01-03T16:25:28.520577 #8029] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2019-01-03T16:25:28.520592 #8029] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2019-01-03T16:25:28.520605 #8029] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2019-01-03T16:25:28.520617 #8029] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2019-01-03T16:25:28.520635 #8029] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/bin/kitchen:13:in `block in <top (required)>'
E, [2019-01-03T16:25:28.520649 #8029] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2019-01-03T16:25:28.520661 #8029] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/bin/kitchen:13:in `<top (required)>'
E, [2019-01-03T16:25:28.520674 #8029] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:250:in `load'
E, [2019-01-03T16:25:28.520686 #8029] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:250:in `<main>'
E, [2019-01-03T16:25:28.520698 #8029] ERROR -- Kitchen: ----End Backtrace-----
